subject,spam_label
Click here to win free money,1
Reminder: Doctor appointment on 3/3/2025 at 2:00 PM,0
The dirty secret of financial newsletters ✅,1
Family photos from our trip to Philadelphia,0
AWS billing statement for July 2025,0
The $1.9 trillion industry AI is about to demolish ✅,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live 🔥,1
Re: Project status update for Q4 2024,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 ✅",1
Your order #8473 has shipped,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty ✅",1
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Re: Question about Kubernetes scaling,0
GitHub: New sign-in from Singapore,0
Board meeting agenda – May 2024,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 🔥",1
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Experience ultra-HD streaming at zero cost🎟️  #1264448583 ✅,1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ ✅,1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF,1
Don't miss out on your free trial. (Limited Time),1
Family photos from our trip to New York,0
Your order #8037 has shipped,0
Notes from today's lecture – ETL performance,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 🔥",1
Your old TV setup is outdated… try this 👇 #5290677042 ✅,1
Sprint 7335 planning meeting – Wed 2:00 PM,0
Board meeting agenda – February 2023,0
AWS billing statement for January 2023,0
The dirty secret of financial newsletters (Limited Time),1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) – Offer Ends Tonight,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained 🔥",1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! #310747",1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 #856241",1
Performance review discussion – July,0
Re: Question about LangChain agents,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts ✅,1
Performance review discussion – October,0
Performance review discussion – May,0
Re: Question about ETL performance,0
Zoom link for Kubernetes scaling,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! – Offer Ends Tonight",1
Sprint 6224 planning meeting – Mon 9:00 AM,0
Calendar invite: 1:1 with Raj,0
The $1.9 trillion industry AI is about to demolish – Offer Ends Tonight,1
Board meeting agenda – October 2024,0
Re: Project status update for Q3 2025,0
The dirty secret of financial newsletters #438972,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained – Offer Ends Tonight",1
Class registration confirmation – MBA 610,0
Notes from today's lecture – Kubernetes scaling,0
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Zoom link for feature flags,0
Last Chance to Register — Subsurface Live Is Tomorrow (Limited Time),1
The dirty secret of financial newsletters 🔥,1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… – Offer Ends Tonight",1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live – Offer Ends Tonight,1
Your old TV setup is outdated… try this 👇 #5290677042 🔥,1
Welcome to the RAG search beta program,0
Calendar invite: 1:1 with Anita,0
Family photos from our trip to San Francisco,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583 🔥,1
The dirty secret of financial newsletters,1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! (Limited Time)",1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻",1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! ✅",1
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 (Limited Time)",1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts (Limited Time),1
